ean,producto,marca,super,precio,url,n_supers,mas_barato,es_mas_barato,ahorro_clp,ahorro_pct
7802810011916,Pack 6 un. Jugo Watt's Naranja Manzana 200 ml,Watt's,Jumbo,3890,https://jumbo.myvtex.com/jugo-100-fruta-lv-watts-nrja-mzna-200ml-2018092-pak/p,2,Jumbo,1,190,4.7
7804651844333,Muffins Arándano Blíster 2 un.,Cuisine & Co,SantaIsabel,2190,https://santaisabel.myvtex.com/muffins-arandano-blister-2-un-1967962/p,2,SantaIsabel,1,100,4.4
7804651844333,Muffins Arándano Blíster 2 un.,Cuisine & Co,Jumbo,2290,https://jumbo.myvtex.com/muffins-arandano-blister-2-un-1967962/p,2,SantaIsabel,0,100,4.4
8001665700108,Pasta pappardelle Rana al huevo 300 g,Rana,Unimarc,3780,https://unimarc.myvtex.com/pappardelle-al-huevo-rana-300-grs/p,3,Unimarc,1,510,11.9
8001665700108,Pasta pappardelle Rana al huevo 300 g,Rana,SantaIsabel,4290,https://santaisabel.myvtex.com/pasta-fresca-pappardelle-300-g-1611091/p,3,Unimarc,0,510,11.9
8001665700108,Pasta pappardelle Rana al huevo 300 g,Rana,Jumbo,3990,https://jumbo.myvtex.com/pappardelle-rana-pasta-al-huevo-300-g-2/p,3,Unimarc,0,510,11.9
7802130002342,Cerveza Budweiser lata 710 cc,Budweiser,Unimarc,1650,https://unimarc.myvtex.com/cerveza-budweiser-710-cc-lata/p,3,SantaIsabel,0,60,3.6
7802130002342,Cerveza Budweiser lata 710 cc,Budweiser,SantaIsabel,1590,https://santaisabel.myvtex.com/cerveza-budweiser-lager-5-0g-710-cc-1932890/p,3,SantaIsabel,1,60,3.6
7802130002342,Cerveza Budweiser lata 710 cc,Budweiser,Jumbo,1650,https://jumbo.myvtex.com/cerveza-budweiser-lager-5-0g-710-cc-1932890/p,3,SantaIsabel,0,60,3.6
8006672990177,Pack 4 un. Bebida Imperdibile Ginger Ale 200 ml,Imperdibile,Jumbo,5490,https://jumbo.myvtex.com/bebida-ginger-ale-imperdibile-200ml-1795562-pak/p,1,,0,0,0
614143220975,Camarón cocido con cáscara y cola Azul Profundo calibre 26/30 500 g,AZUL PROFUNDO,Unimarc,8990,https://unimarc.myvtex.com/camaron-coc-cas-cola-26-30-azul-pro-500g-2/p,2,Unimarc,1,560,5.9
614143220975,Camarón cocido con cáscara y cola Azul Profundo calibre 26/30 500 g,AZUL PROFUNDO,Alvi,9550,https://alvicl.myvtex.com/camaron-coc-cas-cola-26-30-azul-pro-500g/p,2,Unimarc,0,560,5.9
7802231000032,Puré de castañas Tatito frasco 500 g neto - 500 g drenado,Tatito,Unimarc,6690,https://unimarc.myvtex.com/pure-castanas-tatito-500-grs/p,2,Unimarc,1,0,0
7802231000032,Puré de castañas Tatito frasco 500 g neto - 500 g drenado,Tatito,Jumbo,6690,https://jumbo.myvtex.com/pure-de-castanas-tatito-500-g/p,2,Unimarc,0,0,0
7802900002404,Postre Soprole Postres de La Abuela Sémola con Leche y Salsa Caramelo 140 g,Soprole,SantaIsabel,619,https://santaisabel.myvtex.com/semola-con-leche-y-salsa-caramelo-postres-de-la-abuela-140-g-1856284001/p,2,SantaIsabel,1,6,1.0
7802900002404,Postre Soprole Postres de La Abuela Sémola con Leche y Salsa Caramelo 140 g,Soprole,Jumbo,625,https://jumbo.myvtex.com/postre-soprole-postres-de-la-abuela-semola-con-leche-y-salsa-caramelo-140-g-1856284001/p,2,SantaIsabel,0,6,1.0
8410134024384,Alcaparrones Fragata Españoles 165 g drenado,Fragata,Jumbo,4990,https://jumbo.myvtex.com/alcaparrones-fragata-espanoles-frasco-235-grs-2/p,1,,0,0,0
7807910047698,Pan de Hamburguesa Cuisine & Co Artesano 8 un.,Cuisine & Co,SantaIsabel,3290,https://santaisabel.myvtex.com/pan-hamburguesa-artesano-8-un-cuisine-and-co-2009557/p,2,SantaIsabel,1,0,0
7807910047698,Pan de Hamburguesa Cuisine & Co Artesano 8 un.,Cuisine & Co,Jumbo,3290,https://jumbo.myvtex.com/pan-hamburguesa-artesano-8-un-cuisine-and-co-2009557/p,2,SantaIsabel,0,0,0
7802920106052,Yoghurt batido piña,FUNDO LOS ALERCES,Alvi,,https://alvicl.myvtex.com/yoghurt-fundo-pina/p,1,,0,0,0
7807910033370,Anillos de Cebolla Cuisine & Co Tempura 400 g,Cuisine & Co,SantaIsabel,2890,https://santaisabel.myvtex.com/anillos-de-cebolla-tempura-400-g-cuisine-and-co-1822354/p,2,SantaIsabel,1,100,3.3
7807910033370,Anillos de Cebolla Cuisine & Co Tempura 400 g,Cuisine & Co,Jumbo,2990,https://jumbo.myvtex.com/anillos-de-cebolla-tempura-400-g-cuisine-and-co-1822354/p,2,SantaIsabel,0,100,3.3
7802245000028,Alfajores Fino Entrelagos 270 g 6 un.,Entrelagos,Jumbo,8350,https://jumbo.myvtex.com/alfajor-fino-entrelagos-6-unid-270-g-2/p,1,,0,0,0
7804918404034,"Endulzante Liquido Stevia Naturalist, 450ml.",Naturalist,Cugat,4790,https://cugat.cl/producto/endulzante-liquido-stevia-naturalist-450-ml/,3,Alvi,0,200,4.2
7804918404034,"Endulzante Liquido Stevia Naturalist, 450ml.",Naturalist,SantaIsabel,4770,https://santaisabel.myvtex.com/endulzante-liquido-natura-list-450-ml-stevia/p,3,Alvi,0,200,4.2
7804918404034,"Endulzante Liquido Stevia Naturalist, 450ml.",Naturalist,Alvi,4590,https://alvicl.myvtex.com/endulzante-liquido-stevia-y-sucralosa-2/p,3,Alvi,1,200,4.2
7613034094292,Café Liofilizado Nescafé Fina Selección Frasco 50 g,Nescafé,SantaIsabel,4150,https://santaisabel.myvtex.com/cafe-instantaneo-nescafe-50-g-fina-seleccion/p,1,,0,0,0
2590287000001,Arrachera vacuno Blue Ribbon al vacío 2 Kg,BLUE RIBBON,Unimarc,24390,https://unimarc.myvtex.com/arrachera-vac-vcio-canadian-diamond-kg/p,1,,0,0,0
7808707003736,Bebida Point sin azúcar lima limón desechable 3 L,POINT,Unimarc,990,https://unimarc.myvtex.com/bebida-lima-limon-sin-azuc-pet-point-3lt/p,2,Unimarc,1,0,0
7808707003736,Bebida Point sin azúcar lima limón desechable 3 L,POINT,Alvi,990,https://alvicl.myvtex.com/bebida-lima-limon-sin-azuc-pet-point-3lt/p,2,Unimarc,0,0,0
7790975198675,Espumante Chandon Apéritif 750 cc,Chandon,Jumbo,14490,https://jumbo.myvtex.com/espumante-chandon-aperitif-750cc-bot-1866874/p,1,,0,0,0
21130465354,Syrup Signature Select mantequilla 709 ml,SIGNATURE SELECT,Unimarc,6090,https://unimarc.myvtex.com/syrup-mantequilla-signature-select-709ml/p,1,,0,0,0
5412186001071,Cerveza Delirium Chritmas Strong Ale 10° 330 cc,Delirium,Jumbo,3890,https://jumbo.myvtex.com/cerveza-delirium-chritmas-strong-ale-10g-330-cc-1442044/p,1,,0,0,0
606110381284,Chucrut Fermentado La Fermentista Raíces Nobles 680 g,La Fermentista,Jumbo,11590,https://jumbo.myvtex.com/chucrut-raices-nobles-granel/p,1,,0,0,0
4001450311438,Galletas Gottena Frambuesa Suave 300 g,Gottena,SantaIsabel,3990,https://santaisabel.myvtex.com/galletas-frambuesa-suave-300-g-1821202/p,1,,0,0,0
17808709504245,Pack leche semidescremada Los Peumos 12 un de 1 L,LOS PEUMOS,Unimarc,14280,https://unimarc.myvtex.com/leche-semidescremada-tetra-los-peumos-1l-2/p,1,,0,0,0
7809591500431,Vino Cabernet Sauvignon Sutil La Playa 13.5° Botella 750 cc,La Playa,Jumbo,4979,https://jumbo.myvtex.com/vino-cabernet-sauvignon-sutil-la-playa-13-5-botella-750-cc-1744255/p,1,,0,0,0
24820622,Pernil Chillan Sin Hueso kg,Chillán,SantaIsabel,12600,https://santaisabel.myvtex.com/pernil-chillan-sin-hueso-granel-508655-kg/p,1,,0,0,0
7801620010997,Bebida Pap zero desechable 1.25 L,Pap,Unimarc,1850,https://unimarc.myvtex.com/pap-zero-pet-1-25-lt/p,1,,0,0,0
8445291025622,Galletas Mckay Navidad Canela 170 g,Mckay,SantaIsabel,1299,https://santaisabel.myvtex.com/mckay-navidad-galleta-canela-170gr-1972793/p,1,,0,0,0
7802820021950,Agua mineral Vital sin gas botella 1.6 L,Vital,Unimarc,1090,https://unimarc.myvtex.com/agua-min-vital-s-gas-1-6-l-no-retor/p,4,Alvi,0,220,20.2
7802820021950,Agua mineral Vital sin gas botella 1.6 L,Vital,SantaIsabel,1010,https://santaisabel.myvtex.com/agua-mineral-sin-gas-vital-16-l-botella-desechable/p,4,Alvi,0,220,20.2
7802820021950,Agua mineral Vital sin gas botella 1.6 L,Vital,Jumbo,1050,https://jumbo.myvtex.com/agua-mineral-sin-gas-vital-16-l-botella-desechable/p,4,Alvi,0,220,20.2
7802820021950,Agua mineral Vital sin gas botella 1.6 L,Vital,Alvi,870,https://alvicl.myvtex.com/agua-mineral-vital-sin-gas-botella-1-6-l/p,4,Alvi,1,220,20.2
70847027430,Pack 6 un. Bebida Energética Reign Melon Mania 473 ml,REIGN,SantaIsabel,7190,https://santaisabel.myvtex.com/beb-func-reign-melon-mania-lata-473cc-1923736-pak/p,1,,0,0,0
8853662002170,Alimento de Coco Exotic Food 160 ml,Exotic Food,SantaIsabel,1290,https://santaisabel.myvtex.com/alim-coco-160ml-2007965/p,2,SantaIsabel,1,0,0
8853662002170,Alimento de Coco Exotic Food 160 ml,Exotic Food,Jumbo,1290,https://jumbo.myvtex.com/alim-coco-160ml-2007965/p,2,SantaIsabel,0,0,0
8445290611482,Torta Helada Charlot Nougat 1.2 L,Savory,SantaIsabel,4490,https://santaisabel.myvtex.com/hel-savory-charlot-torta-nougat-1-2l-1938274/p,1,,0,0,0
7802410005124,Crema de tomates Gourmet sobre 68 g,Gourmet,Unimarc,620,https://unimarc.myvtex.com/crema-tomate-tradicional-gourmet-68-gr/p,2,Unimarc,1,10,1.6
7802410005124,Crema de tomates Gourmet sobre 68 g,Gourmet,Jumbo,630,https://jumbo.myvtex.com/crema-gourmet-trad-tomate-68gr-2018114/p,2,Unimarc,0,10,1.6
8421328900261,Chipolatta Tomate y Gruyere Al Vacío 250 g,Jumbo Artesanal,Jumbo,3690,https://jumbo.myvtex.com/chipolatta-tomate-y-gruyere-jumbo-artesanal-1-unid/p,1,,0,0,0
7802100004345,Cerveza Patagonia austral megaloceros black lager lata 470 cc,Austral,Unimarc,1390,https://unimarc.myvtex.com/cerv-megaloceros-b-pat-austral-470c-lata-2/p,3,SantaIsabel,0,470,32.0
7802100004345,Cerveza Patagonia austral megaloceros black lager lata 470 cc,Austral,SantaIsabel,1000,https://santaisabel.myvtex.com/cerveza-austral-patagonia-black-lager-5-3g-470-cc-1927436/p,3,SantaIsabel,1,470,32.0
7802100004345,Cerveza Patagonia austral megaloceros black lager lata 470 cc,Austral,Jumbo,1470,https://jumbo.myvtex.com/cerveza-austral-patagonia-black-lager-5-3g-470-cc-1927436/p,3,SantaIsabel,0,470,32.0
7803110108184,"Poroto Hallado Banquete, 1kg",Banquete,Cugat,4690,https://cugat.cl/producto/poroto-hallado-banquete-1-kg/,3,Unimarc,0,1690,36.0
7803110108184,"Poroto Hallado Banquete, 1kg",Banquete,Unimarc,3000,https://unimarc.myvtex.com/porotos-hallados-banquete-1-kg/p,3,Unimarc,1,1690,36.0
7803110108184,"Poroto Hallado Banquete, 1kg",Banquete,Jumbo,3750,https://jumbo.myvtex.com/porotos-hallado-banquete-bolsa-1-kg-2/p,3,Unimarc,0,1690,36.0
7804335032315,Vino blanco caja,BODEGA UNO,Alvi,,https://alvicl.myvtex.com/vino-blanco-caja-8/p,1,,0,0,0
7802100004772,Cerveza Heineken Silver 4.0° Lata 470 cc,Heineken,SantaIsabel,1490,https://santaisabel.myvtex.com/cerveza-heineken-silver-470-cc-4-1un/p,1,,0,0,0
7896010002256,Tequila Jose Cuervo Especial 750 cc,Jose Cuervo,Jumbo,17290,https://jumbo.myvtex.com/tequila-especial-jose-cuervo-750-ml/p,1,,0,0,0
7802900002602,Queso mantecosa granulado Quilque Soprole 400 g,QUILQUE,Unimarc,5490,https://unimarc.myvtex.com/queso-mantecoso-granulado-quilque-400gr/p,2,Unimarc,1,109,1.9
7802900002602,Queso mantecosa granulado Quilque Soprole 400 g,QUILQUE,Jumbo,5599,https://jumbo.myvtex.com/queso-quilque-hebras-400-g-1899543/p,2,Unimarc,0,109,1.9
7610113027134,Vodka Eristoff black botella 950 cc,Eristoff,Unimarc,7490,https://unimarc.myvtex.com/vodka-black-eristoff-950-ml-bot/p,2,Unimarc,1,1500,16.7
7610113027134,Vodka Eristoff black botella 950 cc,Eristoff,SantaIsabel,8990,https://santaisabel.myvtex.com/coctel-vod-18-950-2056535/p,2,Unimarc,0,1500,16.7
33383666020,Zanahoria baby Dole bolsa 454 g,Frutas y Verduras,Unimarc,5190,https://unimarc.myvtex.com/bandeja-zanahoria-baby-y-apio-dole-454-gr/p,2,Jumbo,0,200,3.9
33383666020,Zanahoria baby Dole bolsa 454 g,Frutas y Verduras,Jumbo,4990,https://jumbo.myvtex.com/zanahoria-baby-454-gr-pa-1964566/p,2,Jumbo,1,200,3.9
7801325000828,Néctar Saturno Arándano 1 L,Saturno,Jumbo,4590,https://jumbo.myvtex.com/nectar-saturno-1-l-sabor-arandano/p,1,,0,0,0
7802220738526,Cereal Natur trigo inflado bolsa 300 g,Natur,Unimarc,2850,https://unimarc.myvtex.com/trigo-natur-bolsa-300-gr/p,3,Alvi,0,420,14.7
7802220738526,Cereal Natur trigo inflado bolsa 300 g,Natur,SantaIsabel,2660,https://santaisabel.myvtex.com/cereal-natur-bolsa-300-g-trigo/p,3,Alvi,0,420,14.7
7802220738526,Cereal Natur trigo inflado bolsa 300 g,Natur,Alvi,2430,https://alvicl.myvtex.com/cereal-natur-trigo-inflado-bolsa-300-g/p,3,Alvi,1,420,14.7
737186390228,Té orgánico Marley black tea orange 12 un,Marley,Unimarc,4490,https://unimarc.myvtex.com/te-spiced-chai-org-marley-12-un/p,1,,0,0,0
7804602600742,Pan hot dog Amada Masa blanco 8 un,AMADA MASA,Unimarc,1950,https://unimarc.myvtex.com/pan-hot-dog-amada-masa-8-un/p,1,,0,0,0
24992701,"Torta Imperial: Panqueque Vainilla, Crema Trufa, Puré de Lúcuma y Manjar 10 Porciones",Jumbo Artesanal,Jumbo,19990,https://jumbo.myvtex.com/torta-imperial-10p-jumbo-artesanal/p,1,,0,0,0
24950336,Pera Abate Fetel Granel,Frutas y Verduras Propias,Jumbo,1890,https://jumbo.myvtex.com/pera-abate-fetel-granel/p,1,,0,0,0
7804658021225,Puré de frutas orgánico Ama manzana Squeeze 90 g,Ama,Unimarc,1250,https://unimarc.myvtex.com/pure-de-fruta-organico-ama-90-g-manzana/p,1,,0,0,0
7804627780108,Azúcar de caña refinada,MAGDALENA,Alvi,28230,https://alvicl.myvtex.com/azucar-d-cana-refinada-magdalena-g2-25kg/p,1,,0,0,0
7809611722386,Pechuga de Pavo y Pollo Sopraval Cocida 125 g,Sopraval,SantaIsabel,2690,https://santaisabel.myvtex.com/pechuga-pavo-125g-2055622/p,1,,0,0,0
7804300122379,Vino Santa Helena Tinto Caja 1.5 L,Santa Helena,SantaIsabel,3890,https://santaisabel.myvtex.com/vino-vina-santa-helena-tinto-1-5-l-511490/p,2,Jumbo,0,40,1.0
7804300122379,Vino Santa Helena Tinto Caja 1.5 L,Santa Helena,Jumbo,3850,https://jumbo.myvtex.com/vino-vina-santa-helena-tinto-1-5-l/p,2,Jumbo,1,40,1.0
70847895183,Pack 4 un. Bebida Energética Monster Energy Original 474 ml,Monster,SantaIsabel,7550,https://santaisabel.myvtex.com/pack-4-un-bebida-energetica-monster-energy-original-474-ml-2018655-pak/p,2,SantaIsabel,1,40,0.5
